Title,product_id,ISSN print,ISSN electronic,Imprint,"Primary Language",Open Access,Comment,License,standard workflow July 18,"Production Editor"
Polymer Bulletin,289,0170-0839,1436-2449,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
Polytechnica,41050,2520-8497,2520-8063,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Darnowsky,Robert"
Population Ecology,10144,1438-3896,1438-390X,Springer,English,Hybrid (Open Choice),"No longer published bySpringerNature as of completionof Vol. 60 (2018).",CC BY,standard,"Dayanand,Antony"
Population and Environment,11111,0199-0039,1573-7810,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Delgado,Melissa"
Portuguese Economic Journal,10258,1617-982X,1617-9838,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Marabillo,Annalyn"
Positivity,11117,1385-1292,1572-9281,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Vijayaraghunathan, Preetha"
Postdigital Science and Education,42438,2524-485X,2524-4868,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,non-standard,
Potato Research,11540,0014-3065,1871-4528,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villahermosa,Aimee"
Potential Analysis,11118,0926-2601,1572-929X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mortillero, Jill"
"Prävention undGesundheitsförderung",11553,1861-6755,1861-6763,Springer,German,Hybrid (Open Choice),,CC BY,standard,"Frey, Holger"
Precision Agriculture,11119,1385-2256,1573-1618,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Shenbagam, S."
Prevention Science,11121,1389-4986,1573-6695,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Alejo, Mildred"
Primates,10329,0032-8332,1610-7365,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Babu,Saravanan"
"Probability Theory and RelatedFields",440,0178-8051,1432-2064,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vijayaraghunathan, Preetha"
"Probiotics and AntimicrobialProteins",12602,,1867-1314,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Janguin, Emilie"
ProCare,735,0949-7323,1613-7574,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,non-standard,"Kammerer,Philipp"
"Proceedings of the NationalAcademy of Sciences, IndiaSection A: Physical Sciences",40010,0369-8203,2250-1762,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Maharajan,Suganya"
"Proceedings of the NationalAcademy of Sciences, IndiaSection B: Biological Sciences",40011,0369-8211,2250-1746,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Muthulakshmi,S."
"Process Integration andOptimization for Sustainability",41660,2509-4238,2509-4246,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
Production Engineering,11740,0944-6524,1863-7353,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weigel, Thomas"
"Progress in AdditiveManufacturing",40964,2363-9512,2363-9520,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Kuebler, Andrea"
Progress in Artificial Intelligence,13748,2192-6352,2192-6360,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Uhl, Beate"
PROSPECTS,11125,0033-1538,1573-9090,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Lazar, Margit"
The Protein Journal,10930,1572-3887,1573-4943,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramachandran,Bharathi"
Protoplasma,709,0033-183X,1615-6102,Springer,English,Hybrid (Open Choice),,CC BY,standard,"WervoneAguilar, Andrew"
Psychiatric Quarterly,11126,0033-2720,1573-6709,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Janguin, Emilie"
Psychological Injury and Law,12207,,1938-9728,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pis-an, MariaCathelyn"
The Psychological Record,40732,0033-2933,2163-3452,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Darnowsky,Robert"
Psychological Research,426,0340-0727,1430-2772,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ahmed, Sadat"
Psychological Studies,12646,0033-2968,0974-9861,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nair, Abilash"
Psychonomic Bulletin & Review,13423,1069-9384,1531-5320,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Davis, Jeff"
Psychopharmacology,213,0033-3158,1432-2072,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
psychopraxis. neuropraxis,739,2197-9707,2197-9715,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Scheuermann,Ria"
Psychotherapeut,278,0935-6185,1432-2080,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Scheuermann,Ria"
Public Choice,11127,0048-5829,1573-7101,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pieren, Eric"
Public Organization Review,11115,1566-7170,1573-7098,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Duning,Renante"
Public Transport,12469,,1613-7159,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weigel, Thomas"
Publishing Research Quarterly,12109,1053-8801,1936-4792,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Darnowsky,Robert"
Publizistik,11616,0033-4006,1862-2569,Springer VS,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Dilger, Julia"
Pure and Applied Geophysics,24,0033-4553,1420-9136,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Hofrichter,Patricia"
Purinergic Signalling,11302,,1573-9546,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
Qualitative Sociology,11133,0162-0436,1573-7837,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Asejo, Aila"
Quality of Life Research,11136,0962-9343,1573-2649,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
Quality & Quantity,11135,0033-5177,1573-7845,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj,Ambiga"
Quality and User Experience,41233,2366-0139,2366-0147,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Kuebler, Andrea"
Quantitative Biology,40484,,2095-4697,"Higher Education Press, co-published with Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"Quantitative Marketing andEconomics",11129,1570-7156,1573-711X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
Quantum Information Processing,11128,1570-0755,1573-1332,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chandrasekar,Priya"
Quantum Machine Intelligence,42484,2524-4906,2524-4914,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,standard,"Hofrichter,Patricia"
"Quantum Studies: Mathematicsand Foundations",40509,2196-5609,2196-5617,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Uhl, Beate"
Queueing Systems,11134,0257-0130,1572-9443,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramachandran,Bharathi"
Race and Social Problems,12552,1867-1748,1867-1756,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jayaraj,Poongulazhali"
"Radiation Detection Technologyand Methods",41605,2509-9930,2509-9949,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Daum, Jutta"
"Radiation and EnvironmentalBiophysics",411,0301-634X,1432-2099,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sureshkumar,Deepika"
Der Radiologe,117,0033-832X,1432-2102,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Kehl, Claudia"
La radiologia medica,11547,,1826-6983,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
"Radiological Physics andTechnology",12194,1865-0333,1865-0341,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Babu,Saravanan"
The Ramanujan Journal,11139,1382-4090,1572-9303,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Langlois, James"
Rare Metals,12598,1001-0521,1867-7185,"Nonferrous Metals Society ofChina, co-published with Springer",English,Hybrid (Open Choice),,CC BY,standard,"Jeyaraj,Aravindhan"
"Raumforschung undRaumordnung |  Spatial Researchand Planning",13147,0034-0111,1869-4179,Springer,German,Hybrid (Open Choice),,CC BY,standard,"Weigel, Thomas"
"Reaction Kinetics, Mechanismsand Catalysis",11144,1878-5190,1878-5204,"Akadémiai Kiadó, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,standard,"Thilagam,Kasturi"
Reading and Writing,11145,0922-4777,1573-0905,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Thilagam,Kasturi"
Real-Time Systems,11241,0922-6443,1573-1383,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vedachalam,Hemalatha"
Rechtsmedizin,194,0937-9819,1434-5196,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Wagner, Anna"
"Regenerative Engineering andTranslational Medicine",40883,2364-4133,2364-4141,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Davis, Jeff"
Regional Environmental Change,10113,1436-3798,1436-378X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"WervoneAguilar, Andrew"
"Remote Sensing in Earth SystemsSciences",41976,2520-8195,2520-8209,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Bascon, Yvette"
"Rendiconti del CircoloMatematico di Palermo Series 2",12215,0009-725X,1973-4409,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
"Rendiconti Lincei. Scienze Fisichee Naturali",12210,2037-4631,1720-0776,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rajendran,Thangeswari"
Requirements Engineering,766,0947-3602,1432-010X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
Res Publica,11158,1356-4765,1572-8692,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Klijn, Marielle"
"Research on ChemicalIntermediates",11164,0922-6168,1568-5675,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Manoharan,Suganya"
Research in Engineering Design,163,0934-9839,1435-6066,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Reddy, Srikanth"
Research in Higher Education,11162,0361-0365,1573-188X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devakumar,Radika"
"Research in the MathematicalSciences",40687,2522-0144,2197-9847,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Maged, Robert"
Research in Number Theory,40993,2522-0160,2363-9555,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Maged, Robert"
Research in Science Education,11165,0157-244X,1573-1898,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villahermosa,Aimee"
Results in Mathematics,25,1422-6383,1420-9012,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
Review of Accounting Studies,11142,1380-6653,1573-7136,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
The Review of Austrian Economics,11138,0889-3047,1573-7128,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
Review of Derivatives Research,11147,1380-6645,1573-7144,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sathish, Malathi"
Review of Economic Design,10058,1434-4742,1434-4750,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
"Review of Economics of theHousehold",11150,1569-5239,1573-7152,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pesala,Nandhini"
Review of Industrial Organization,11151,0889-938X,1573-7160,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Manoharan,Suganya"
"The Review of InternationalOrganizations",11558,1559-7431,1559-744X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Alejo, Mildred"
"Review Journal of Autism andDevelopmental Disorders",40489,2195-7177,2195-7185,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Seidenfeld,David"
Review of Managerial Science,11846,1863-6683,1863-6691,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
"Review of Philosophy andPsychology",13164,,1878-5166,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
"Review of Quantitative Financeand Accounting",11156,0924-865X,1573-7179,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panneerselvam,Prathap"
Review of Regional Research,10037,0173-7600,1613-9836,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weigel, Thomas"
Review of Religious Research,13644,0034-673X,2211-4866,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Lazar, Margit"
"The Review of SocionetworkStrategies",12626,2523-3173,1867-3236,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ganesan,Remya"
Review of World Economics,10290,1610-2878,1610-2886,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
"Reviews in Endocrine andMetabolic Disorders",11154,1389-9155,1573-2606,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
"Reviews in Environmental Scienceand Bio/Technology",11157,1569-1705,1572-9826,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Anitha, G. V."
"Reviews in Fish Biology andFisheries",11160,0960-3166,1573-5184,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Anitha, G. V."
"Reviews of Modern PlasmaPhysics",41614,,2367-3192,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Somasundaram,Aravind"
Revista Matemática Complutense,13163,1139-1138,1988-2807,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
"Revista de la Real Academia deCiencias Exactas, Físicas yNaturales. Serie A. Matemáticas",13398,1578-7303,1579-1505,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
Rheologica Acta,397,0035-4511,1435-1528,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fabe, Junlen"
rheuma plus,12688,1868-260X,2191-2610,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Scheuermann,Ria"
Rheumatology International,296,,1437-160X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ratnabai,Sumathi"
Ricerche di Matematica,11587,0035-5038,1827-3491,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Vijayaraghunathan, Preetha"
"La Rivista Italiana della Medicinadi Laboratorio - Italian Journal ofLaboratory Medicine",13631,1825-859X,2039-6821,Springer,Italian,Hybrid (Open Choice),"No longer published bySpringerNature as of completionof volume 14 (2018).",CC BY,standard,"Schüller,Bernhard"
"Rock Mechanics and RockEngineering",603,0723-2632,1434-453X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Varghese,Beulah"
Russian Linguistics,11185,0304-3487,1572-8714,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"van Dijl, Stefan"
"São Paulo Journal ofMathematical Sciences",40863,1982-6907,2316-9028,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cerami, Joe"
Schmalenbach Business Review,41464,1439-2917,2194-072X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Schüller,Bernhard"
"Schmalenbachs Zeitschrift fürbetriebswirtschaftliche Forschung",41471,0341-2687,2366-6153,Springer Gabler,German,Hybrid (Open Choice),,CC BY,standard,"Schüller,Bernhard"
Der Schmerz,482,0932-433X,1432-2129,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Meyer-VomHagen, Petra"
School Mental Health,12310,1866-2625,1866-2633,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Raj, Vatsala"
Science China Chemistry,11426,1674-7291,1869-1870,"Science China Press, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
Science China Earth Sciences,11430,1674-7313,1869-1897,"Science China Press, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"Science China InformationSciences",11432,1674-733X,1869-1919,"Science China Press, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
Science China Life Sciences,11427,1674-7305,1869-1889,"Science China Press, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
Science China Materials,40843,2095-8226,2199-4501,"Science China Press, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
Science China Mathematics,11425,1674-7283,1869-1862,"Science China Press, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"Science China TechnologicalSciences",11431,1674-7321,1869-1900,"Science China Press, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
Science & Education,11191,0926-7220,1573-1901,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mortillero, Jill"
Science and Engineering Ethics,11948,1353-3452,1471-5546,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Klijn, Marielle"
The Science of Nature,114,0028-1042,1432-1904,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Catalan,Ganabee"
Scientometrics,11192,0138-9130,1588-2861,"Akadémiai Kiadó, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,standard,"Thilagam,Kasturi"
Selecta Mathematica,29,,1420-9020,Birkhäuser,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Ramanathan,Elangovan"
SeMA Journal,40324,2254-3902,2281-7875,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
Semigroup Forum,233,0037-1912,1432-2137,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Langlois, James"
Seminars in Immunopathology,281,1863-2297,1863-2300,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Roseveare,David"
Sensing and Imaging,11220,,1557-2072,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Raj, Vatsala"
Service Business,11628,,1862-8508,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
"Service Oriented Computing andApplications",11761,,1863-2394,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ahmed, Sadat"
"Set-Valued and VariationalAnalysis",11228,1877-0533,1877-0541,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
Sex Roles,11199,0360-0025,1573-2762,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
Sexuality & Culture,12119,1095-5143,1936-4822,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Shenbagam, S."
Sexuality and Disability,11195,0146-1044,1573-6717,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nagaraj, Govind"
"Sexuality Research and SocialPolicy",13178,,1553-6610,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Delgado,Melissa"
"Shape Memory andSuperelasticity",40830,2199-384X,2199-3858,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Langlois, James"
Shock Waves,193,0938-1287,1432-2153,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
