Title,Format,product_id,ISSN print,ISSN electronic,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment
Biomolecular NMR Assignments,E OF,12104,,1874-270X,Springer,English,1,13,2,Hybrid (Open Choice),
BioNanoScience,PE OF,12668,2191-1630,2191-1649,Springer,English,1,9,4,Hybrid (Open Choice),
BioPhysical Economics and Resource Quality,PE C,41247,2366-0112,2366-0120,Springer,English,1,4,4,Hybrid (Open Choice),
Biophysical Reviews,E OF S,12551,,1867-2469,Springer,English,1,11,6,Hybrid (Open Choice),
Bioprocess and Biosystems Engineering,PE OF S,449,1615-7591,1615-7605,Springer,English,1,42,12,Hybrid (Open Choice),
Biosemiotics,PE OF,12304,1875-1342,1875-1350,Springer,English,1,12,3,Hybrid (Open Choice),
BioSocieties,PE OF,41292,1745-8552,1745-8560,Palgrave Macmillan,English,1,14,4,Hybrid (Open Choice),Online version only available through an institutional license. 
BIOspektrum,PE,12268,0947-0867,1868-6249,Springer Spektrum,German,1,25,7,Hybrid (Open Choice),
Biotechnology and Bioprocess Engineering,PE,12257,1226-8372,1976-3816,"The Korean Society for Biotechnology and Bioengineering, co-published with Springer",English,1,24,6,Hybrid (Open Choice),
Biotechnology Letters,PE OF S,10529,0141-5492,1573-6776,Springer,English,1,41,12,Hybrid (Open Choice),
BIT Numerical Mathematics,PE OF S,10543,0006-3835,1572-9125,Springer,English,1,59,4,Hybrid (Open Choice),
Boletín de la Sociedad Matemática Mexicana,PE OF,40590,1405-213X,2296-4495,Birkhäuser,English,1,25,3,Hybrid (Open Choice),
Bollettino dell'Unione Matematica Italiana,PE OF,40574,1972-6724,2198-2759,Springer,English,1,12,4,Hybrid (Open Choice),
Bone Marrow Transplantation,PE,41409,0268-3369,1476-5365,Springer Nature,English,1,54,12,Hybrid (Open Choice),Online version only available through an institutional license. 
The Botanical Review,PE OF S,12229,0006-8101,1874-9372,Springer,English,1,85,4,Hybrid (Open Choice),
Boundary-Layer Meteorology,PE OF S,10546,0006-8314,1573-1472,Springer,English,4,170-173,3,Hybrid (Open Choice),
Brain Imaging and Behavior,E OF,11682,,1931-7565,Springer,English,1,13,6,Hybrid (Open Choice),
Brain Structure and Function,PE OF S,429,1863-2653,1863-2661,Springer,English,1,224,9,Hybrid (Open Choice),
Brain Topography,PE OF S,10548,0896-0267,1573-6792,Springer,English,1,32,6,Hybrid (Open Choice),
Brain Tumor Pathology,PE OF S,10014,1433-7398,1861-387X,Springer,English,1,36,4,Hybrid (Open Choice),
Brazilian Journal of Botany,PE OF S,40415,0100-8404,1806-9959,Springer,English,1,42,4,Hybrid (Open Choice),
Brazilian Journal of Microbiology,E,42770,,1678-4405,Springer,English,1,50,4,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Elsevier. Available in electronic format only. 
Brazilian Journal of Physics,PE OF,13538,0103-9733,1678-4448,Springer,English,1,49,6,Hybrid (Open Choice),
Breast Cancer,PE OF S,12282,1340-6868,1880-4233,Springer,English,1,26,6,Hybrid (Open Choice),
Breast Cancer Research and Treatment,E OF,10549,,1573-7217,Springer,English,6,173-178,3,Hybrid (Open Choice),
British Dental Journal,PE S,41415,0007-0610,1476-5373,Springer Nature,English,2,226-227,12,Hybrid (Open Choice),Online version only available through an institutional license. 
British Journal of Cancer,PE,41416,0007-0920,1532-1827,Springer Nature,English,2,120-121,12,Hybrid (Open Choice),Online version only available through an institutional license. 
British Politics,PE OF,41293,1746-918X,1746-9198,Palgrave Macmillan,English,1,14,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Brittonia,PE OF S,12228,0007-196X,1938-436X,Springer,English,1,71,4,Hybrid (Open Choice),
Building Simulation,PE OF,12273,1996-3599,1996-8744,"Tsinghua University Press, co-published with Springer",English,1,12,6,Hybrid (Open Choice),Chinese Library of Science. 
"Bulletin of the Brazilian Mathematical Society, New Series",PE OF S,574,1678-7544,1678-7714,Springer,English,1,50,4,Hybrid (Open Choice),
Bulletin of Earthquake Engineering,PE OF,10518,1570-761X,1573-1456,Springer,English,1,17,12,Hybrid (Open Choice),
Bulletin of Engineering Geology and the Environment,PE OF,10064,1435-9529,1435-9537,Springer,English,1,78,8,Hybrid (Open Choice),
Bulletin of Environmental Contamination and Toxicology,PE,128,0007-4861,1432-0800,Springer,English,2,102-103,6,Hybrid (Open Choice),
Bulletin of the Iranian Mathematical Society,E OF,41980,,1735-8515,Springer,English,1,45,6,Hybrid (Open Choice),Take-over in 2018. Former publisher: Iranian Mathematical Society. Available in electronic format only. 
Bulletin of the Malaysian Mathematical Sciences Society,PE,40840,0126-6705,2180-4206,Springer,English,1,42,6,Hybrid (Open Choice),
Bulletin of Mathematical Biology,PE OF,11538,0092-8240,1522-9602,Springer,English,1,81,12,Hybrid (Open Choice),
Bulletin of Volcanology,E OF S C,445,,1432-0819,Springer,English,1,81,12,Hybrid (Open Choice),
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,PE OF S,103,1436-9990,1437-1588,Springer,German,1,62,12,Hybrid (Open Choice),
Business & Information Systems Engineering,PE OF S,12599,2363-7005,1867-0202,Springer Vieweg,English,1,61,6,Hybrid (Open Choice),
Calcified Tissue International,E OF,223,,1432-0827,Springer,English,2,104-105,6,Hybrid (Open Choice),
Calcolo,PE C,10092,0008-0624,1126-5434,Springer,English,1,56,4,Hybrid (Open Choice),
Calculus of Variations and Partial Differential Equations,PE S C,526,0944-2669,1432-0835,Springer,English,1,58,6,Hybrid (Open Choice),
Cambridge Journal of Evidence-Based Policing,E OF S,41887,,2520-1336,Springer,English,1,3,4,Hybrid (Open Choice),Available in electronic format only. 
Canadian Journal of Anesthesia/Journal canadien d'anesthésie,PE OF,12630,0832-610X,1496-8975,Springer,English,1,66,12,Hybrid (Open Choice),
Canadian Journal of Public Health,E,41997,,1920-7476,Springer,English,1,110,6,Hybrid (Open Choice),Take-over in 2018. Former publisher: The Canadian Public Health Association. Available in electronic format only. 
"Canadian Journal of Science, Mathematics and Technology Education",PE OF,42330,1492-6156,1942-4051,Springer,English,1,19,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: Taylor & Francis. 
Canadian Studies in Population,PE OF,42650,0380-1489,1927-629X,Springer,English,1,46,2,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: University of Alberta and Canadian Population Society. 
Cancer Causes & Control,PE OF,10552,0957-5243,1573-7225,Springer,English,1,30,12,Hybrid (Open Choice),
Cancer Chemotherapy and Pharmacology,E OF,280,,1432-0843,Springer,English,2,83-84,6,Hybrid (Open Choice),
Cancer Gene Therapy,PE,41417,0929-1903,1476-5500,Springer Nature,English,1,26,12,Hybrid (Open Choice),Online version only available through an institutional license. 
"Cancer Immunology, Immunotherapy",E OF,262,,1432-0851,Springer,English,1,68,12,Hybrid (Open Choice),
Cancer and Metastasis Reviews,PE OF,10555,0167-7659,1573-7233,Springer,English,1,38,4,Hybrid (Open Choice),
Cancer Microenvironment,PE,12307,,1875-2284,Springer,English,1,12,3,Hybrid (Open Choice),Print subscription available as of 2019. 
Carbon Letters,PE,42823,1976-4251,2233-4998,Springer,English,1,29,6,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Korean Carbon Society. 
Carbonates and Evaporites,PE OF S,13146,0891-2556,1878-5212,Springer,English,1,34,4,Hybrid (Open Choice),
Cardiovascular Drugs and Therapy,PE OF S,10557,0920-3206,1573-7241,Springer,English,1,33,6,Hybrid (Open Choice),
Cardiovascular Engineering and Technology,E OF,13239,,1869-4098,Springer,English,1,10,4,Hybrid (Open Choice),
Cardiovascular Intervention and Therapeutics,PE OF S,12928,1868-4300,1868-4297,Springer,English,1,34,4,Hybrid (Open Choice),
CardioVascular and Interventional Radiology,PE OF S,270,0174-1551,1432-086X,Springer,English,1,42,12,Hybrid (Open Choice),
Cardiovascular Toxicology,E OF,12012,,1559-0259,Springer,English,1,19,6,Hybrid (Open Choice),
Catalysis Letters,PE OF S,10562,1011-372X,1572-879X,Springer,English,1,149,12,Hybrid (Open Choice),
Catalysis Surveys from Asia,PE OF,10563,1571-1013,1574-9266,Springer,English,1,23,4,Hybrid (Open Choice),
CCF Transactions on High Performance Computing,PE OF,42514,2524-4922,2524-4930,Springer,English,1,1,4,Hybrid (Open Choice),New Start in 2019. 
CCF Transactions on Networking,PE,42045,2520-8462,2520-8470,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
CCF Transactions on Pervasive Computing and Interaction,PE,42486,2524-521X,2524-5228,Springer,English,1,1,4,Hybrid (Open Choice),New Start in 2019. 
CEAS Aeronautical Journal,PE OF S,13272,1869-5582,1869-5590,Springer,English,1,10,4,Hybrid (Open Choice),
CEAS Space Journal,PE OF,12567,1868-2502,1868-2510,Springer,English,1,11,4,Hybrid (Open Choice),
Celestial Mechanics and Dynamical Astronomy,PE S C,10569,0923-2958,1572-9478,Springer,English,1,131,12,Hybrid (Open Choice),
Cell Biochemistry and Biophysics,PE OF S,12013,1085-9195,1559-0283,Springer,English,1,77,4,Hybrid (Open Choice),
Cell Biology and Toxicology,PE OF,10565,0742-2091,1573-6822,Springer,English,1,35,6,Hybrid (Open Choice),
Cell Death & Differentiation,PE,41418,1350-9047,1476-5403,Springer Nature,English,1,26,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Cell Research,E,41422,,1748-7838,Springer Nature,English,1,29,12,Hybrid (Open Choice),Online version only available through an institutional license. Available in electronic format only. 
Cell Stress and Chaperones,PE OF,12192,1355-8145,1466-1268,Springer,English,1,24,6,Hybrid (Open Choice),
Cell and Tissue Banking,PE OF,10561,1389-9333,1573-6814,Springer,English,1,20,4,Hybrid (Open Choice),
Cell and Tissue Research,PE OF S,441,0302-766X,1432-0878,Springer,English,4,375-378,3,Hybrid (Open Choice),
Cellular and Molecular Bioengineering,E OF,12195,,1865-5033,Springer,English,1,12,6,Hybrid (Open Choice),
Cellular & Molecular Immunology,E,41423,,2042-0226,Springer Nature,English,1,16,12,Hybrid (Open Choice),Print subscription no longer available. Online version only available through an institutional license. Available in electronic format only. 
Cellular and Molecular Life Sciences,PE OF,18,1420-682X,1420-9071,Springer,English,1,76,24,Hybrid (Open Choice),
Cellular and Molecular Neurobiology,PE OF S,10571,0272-4340,1573-6830,Springer,English,1,39,8,Hybrid (Open Choice),
Cellular Oncology,PE OF,13402,2211-3428,2211-3436,Springer,English,1,42,6,Hybrid (Open Choice),
Cellulose,PE OF,10570,0969-0239,1572-882X,Springer,English,1,26,18,Hybrid (Open Choice),
CEN Case Reports,E OF S,13730,,2192-4449,Springer,English,1,8,4,Hybrid (Open Choice),
Central European Journal of Operations Research,PE OF,10100,1435-246X,1613-9178,Springer,English,1,27,4,Hybrid (Open Choice),
The Cerebellum,PE OF,12311,1473-4222,1473-4230,Springer,English,1,18,6,Hybrid (Open Choice),
Chemical Papers,PE OF,11696,2585-7290,1336-9075,Springer,English,1,73,12,Hybrid (Open Choice),
Chemistry Africa,PE OF S,42250,2522-5758,2522-5766,Springer,English,1,2,4,Hybrid (Open Choice),Addendum Journals List: New start in 2018. 
Chemoecology,E OF S,49,,1423-0445,Springer,English,1,29,6,Hybrid (Open Choice),
Chemosensory Perception,PE OF,12078,1936-5802,1936-5810,Springer,English,1,12,2,Hybrid (Open Choice),
ChemTexts,E S C,40828,,2199-3793,Springer,English,1,5,4,Hybrid (Open Choice),Available in electronic format only. 
Child and Adolescent Social Work Journal,PE OF,10560,0738-0151,1573-2797,Springer,English,1,36,6,Hybrid (Open Choice),
Child Indicators Research,PE OF,12187,1874-897X,1874-8988,Springer,English,1,12,6,Hybrid (Open Choice),
Child Psychiatry & Human Development,PE OF,10578,0009-398X,1573-3327,Springer,English,1,50,6,Hybrid (Open Choice),
Child & Youth Care Forum,PE OF,10566,1053-1890,1573-3319,Springer,English,1,48,6,Hybrid (Open Choice),
Childhood Vulnerability Journal,PE OF,41255,2520-8071,2520-808X,Springer,English,1,2,3,Hybrid (Open Choice),New Start in 2018. 
Children's Literature in Education,PE OF,10583,0045-6713,1573-1693,Springer,English,1,50,4,Hybrid (Open Choice),
Child's Nervous System,PE OF S,381,0256-7040,1433-0350,Springer,English,1,35,12,Hybrid (Open Choice),
China Foundry,PE,41230,1672-6421,2365-9459,Springer,English,1,16,6,Hybrid (Open Choice),Chinese Library of Science. 
China International Strategy Review,PE OF,42533,2524-5627,2524-5635,Springer,English,1,1,4,Hybrid (Open Choice),New Start in 2019. Chinese Library of Science. 
China Population and Development Studies,PE,42379,2096-448X,2523-8965,Springer,English,1,3,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: China Population and Development Research Center. 
China-EU Law Journal,PE OF,12689,1868-5153,1868-5161,Springer,English,1,9,4,Hybrid (Open Choice),
Chinese Geographical Science,PE,11769,1002-0063,1993-064X,"Science Press, co-published with Springer",English,1,29,6,Hybrid (Open Choice),Chinese Library of Science. 
Chinese Journal of Academic Radiology,PE,42058,2520-8985,2520-8993,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
Chinese Journal of Polymer Science,PE OF,10118,0256-7679,1439-6203,"Chinese Chemical Society and Institute of Chemistry, CAS, co-published with Springer",English,1,37,12,Hybrid (Open Choice),Chinese Library of Science. 
Chinese Political Science Review,PE OF,41111,2365-4244,2365-4252,Springer,English,1,4,4,Hybrid (Open Choice),
Der Chirurg,PE OF S,104,0009-4722,1433-0385,SpringerMedizin,German,1,90,12,Hybrid (Open Choice),
Chromatographia,PE OF,10337,0009-5893,1612-1112,Springer,English,1,82,12,Hybrid (Open Choice),
Chromosoma,PE OF S,412,0009-5915,1432-0886,Springer,English,1,128,4,Hybrid (Open Choice),
Chromosome Research,PE OF S,10577,0967-3849,1573-6849,Springer,English,1,27,4,Hybrid (Open Choice),
"Circuits, Systems, and Signal Processing",PE OF,34,0278-081X,1531-5878,Birkhäuser,English,1,38,12,Hybrid (Open Choice),
Clays and Clay Minerals,PE,42860,0009-8604,1552-8367,Springer,English,1,67,6,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: The Clay Minerals Society. 
Clean Technologies and Environmental Policy,PE OF,10098,1618-954X,1618-9558,Springer,English,1,21,10,Hybrid (Open Choice),
Climate Dynamics,PE OF S,382,0930-7575,1432-0894,Springer,English,2,52-53,12,Hybrid (Open Choice),
Climatic Change,PE OF S,10584,0165-0009,1573-1480,Springer,English,6,152-157,4,Hybrid (Open Choice),
Clinical Autonomic Research,PE OF S,10286,0959-9851,1619-1560,Springer,English,1,29,6,Hybrid (Open Choice),
Clinical Child and Family Psychology Review,PE OF,10567,1096-4037,1573-2827,Springer,English,1,22,4,Hybrid (Open Choice),
Clinical Dentistry Reviewed,E C,41894,,2511-1965,Springer,English,1,3,1,Hybrid (Open Choice),Available in electronic format only. 
Clinical Drug Investigation,PE OF,40261,1173-2563,1179-1918,Adis,English,1,39,12,Hybrid (Open Choice),
Clinical and Experimental Medicine,E OF S,10238,,1591-9528,Springer,English,1,19,4,Hybrid (Open Choice),
Clinical & Experimental Metastasis,PE OF,10585,0262-0898,1573-7276,Springer,English,1,36,6,Hybrid (Open Choice),
Clinical and Experimental Nephrology,PE OF S,10157,1342-1751,1437-7799,Springer,English,1,23,12,Hybrid (Open Choice),
Clinical Journal of Gastroenterology,PE OF S,12328,1865-7257,1865-7265,Springer,English,1,12,6,Hybrid (Open Choice),
Clinical Neuroradiology,PE OF S,62,1869-1439,1869-1447,Springer,English,1,29,4,Hybrid (Open Choice),
Clinical Oral Investigations,PE OF S,784,1432-6981,1436-3771,Springer,English,1,23,12,Hybrid (Open Choice),
Clinical Pharmacokinetics,PE OF,40262,0312-5963,1179-1926,Adis,English,1,58,12,Hybrid (Open Choice),
Clinical Research in Cardiology,PE OF S,392,1861-0684,1861-0692,Springer,English,1,108,12,Hybrid (Open Choice),Includes subscription to Clinical Research in Cardiology Supplement. 
Clinical Reviews in Allergy & Immunology,E OF S,12016,,1559-0267,Springer,English,2,56-57,3,Hybrid (Open Choice),
Clinical Reviews in Bone and Mineral Metabolism,E OF S,12018,,1559-0119,Springer,English,1,17,4,Hybrid (Open Choice),
Clinical Rheumatology,PE OF,10067,0770-3198,1434-9949,Springer,English,1,38,12,Hybrid (Open Choice),
Clinical Social Work Journal,PE OF,10615,0091-1674,1573-3343,Springer,English,1,47,4,Hybrid (Open Choice),
Clinical and Translational Imaging,E OF S,40336,,2281-7565,Springer,English,1,7,6,Hybrid (Open Choice),
Clinical and Translational Oncology,E OF S,12094,,1699-3055,Springer,English,1,21,12,Hybrid (Open Choice),
Cliometrica,PE OF,11698,1863-2505,1863-2513,Springer,English,1,13,3,Hybrid (Open Choice),
Cluster Computing,PE OF,10586,1386-7857,1573-7543,Springer,English,1,22,4,Hybrid (Open Choice),
CNS Drugs,PE OF,40263,1172-7047,1179-1934,Adis,English,1,33,12,Hybrid (Open Choice),
"Cognition, Technology & Work",PE OF S,10111,1435-5558,1435-5566,Springer,English,1,21,4,Hybrid (Open Choice),
"Cognitive, Affective, & Behavioral Neuroscience",PE OF S,13415,1530-7026,1531-135X,Springer,English,1,19,6,Hybrid (Open Choice),
Cognitive Computation,E OF S,12559,,1866-9964,Springer,English,1,11,6,Hybrid (Open Choice),
Cognitive Neurodynamics,E OF S,11571,,1871-4099,Springer,English,1,13,6,Hybrid (Open Choice),
Cognitive Processing,PE OF S,10339,1612-4782,1612-4790,Springer,English,1,20,4,Hybrid (Open Choice),
Cognitive Therapy and Research,PE OF,10608,0147-5916,1573-2819,Springer,English,1,43,6,Hybrid (Open Choice),
Collectanea Mathematica,PE OF,13348,0010-0757,2038-4815,Springer,English,1,70,3,Hybrid (Open Choice),
Colloid and Polymer Science,PE OF S,396,0303-402X,1435-1536,Springer,English,1,297,12,Hybrid (Open Choice),
coloproctology,PE OF S,53,0174-2442,1615-6730,SpringerMedizin,German,1,41,6,Hybrid (Open Choice),
Communications in Mathematical Physics,PE OF S,220,0010-3616,1432-0916,Springer,English,8,365-372,3,Hybrid (Open Choice),
Communications in Mathematics and Statistics,PE OF,40304,2194-6701,2194-671X,Springer,English,1,7,4,Hybrid (Open Choice),Chinese Library of Science. 
Community Mental Health Journal,PE,10597,,1573-2789,Springer,English,1,55,8,Hybrid (Open Choice),
Comparative Clinical Pathology,E OF S,580,,1618-565X,Springer,English,1,28,6,Hybrid (Open Choice),
Comparative Economic Studies,PE OF,41294,0888-7233,1478-3320,Palgrave Macmillan,English,1,61,4,Hybrid (Open Choice),Online version only available through an institutional license. 
